54 343
11 1822.237549 399.532349
12 1622.432129 425.479156
13 1710.656494 433.096710
14 1800.225708 440.281982
15 1594.970703 466.878174
16 1685.094604 474.949554
17 1776.375488 483.074615
9 -6.000000 -2.000000 6.000000 0.000000 0.000000
0 1562.457275 612.692566
1 1555.044434 523.471497
2 1547.622803 429.126953
3 1652.140503 622.798157
4 1647.411865 533.201599
5 1642.441895 438.533356
6 1743.695801 632.959167
7 1741.298218 542.869263
8 1738.824341 447.549194
17 -6.000000 0.000000 -6.000000 0.000000 0.000000
1 1780.420898 1453.783203
2 1779.180664 1402.193115
3 1851.446533 1516.924927
4 1851.677734 1467.096436
5 1851.767944 1415.587646
6 1922.468628 1530.712646
7 1923.753174 1480.893188
8 1925.204346 1428.801514
9 1839.273682 1179.256958
10 1909.337646 1189.782349
11 1980.429443 1200.261963
12 1822.134521 1225.340576
13 1893.450806 1236.340576
14 1965.911987 1247.194458
15 1804.256958 1273.144531
16 1876.889404 1284.711304
17 1950.630371 1296.344727
18 -6.000000 0.000000 -4.000000 0.000000 0.000000
0 1779.364624 1390.469727
1 1778.038086 1336.477051
2 1776.730713 1280.200684
3 1852.043701 1403.697510
4 1852.299438 1349.537598
5 1852.474731 1293.269287
6 1926.127441 1417.125488
7 1927.592529 1362.893066
8 1929.243286 1306.178711
9 1839.654053 1052.399048
10 1912.789917 1062.453857
11 1987.151001 1072.542480
12 1821.621948 1098.019775
13 1896.213867 1108.759033
14 1971.960205 1119.099365
15 1802.996704 1145.376953
16 1878.921387 1156.517212
17 1956.092041 1167.855225
18 -6.000000 0.000000 -2.000000 0.000000 0.000000
0 1776.855957 1267.537842
1 1775.330688 1208.566406
2 1774.093750 1147.045898
3 1852.756592 1280.389648
4 1853.082764 1221.187866
5 1853.311401 1159.582397
6 1930.192017 1293.443237
7 1931.848145 1234.166748
8 1933.919922 1172.142456
9 1840.039185 913.792603
10 1916.636841 923.328186
11 1994.462891 932.777710
12 1821.165283 958.745239
13 1899.241455 968.932983
14 1978.660645 978.744263
15 1801.604370 1005.581970
16 1881.092896 1016.159546
17 1962.087769 1026.933960
18 -6.000000 0.000000 0.000000 0.000000 0.000000
0 1774.191772 1132.907837
1 1772.458008 1068.070557
2 1771.079224 1000.239319
3 1853.683716 1145.266724
4 1854.051025 1080.229614
5 1854.352173 1012.276672
6 1934.788452 1157.874390
7 1936.725464 1092.688843
8 1939.023804 1024.225586
9 1840.682617 761.135254
10 1921.051514 770.075806
11 2002.881470 778.667603
12 1820.828491 805.270935
13 1902.876953 814.796021
14 1986.363525 823.864746
15 1800.137329 851.265442
16 1883.783569 861.107300
17 1968.985352 871.127441
18 -6.000000 0.000000 2.000000 0.000000 0.000000
0 1771.325806 984.771667
1 1769.596313 913.050415
2 1768.131470 837.718689
3 1854.823853 996.544495
4 1855.384644 924.644165
5 1855.962280 849.069275
6 1940.194824 1008.570007
7 1942.514526 936.235291
8 1945.229370 860.273193
9 1841.770630 592.076233
10 1926.467896 599.976807
11 2012.629517 607.699890
12 1820.773315 634.977722
13 1907.251343 643.516907
14 1995.409058 651.642700
15 1798.913574 679.797424
16 1887.161133 688.697266
17 1977.183594 697.790710
18 -6.000000 0.000000 4.000000 0.000000 0.000000
0 1768.243774 820.208191
1 1766.344971 740.155579
2 1764.732544 655.671997
3 1856.304321 831.132263
4 1856.895508 750.773499
5 1857.717407 666.008606
6 1946.279907 842.320007
7 1949.118286 761.503723
8 1952.380005 676.172546
9 1842.968506 403.149902
10 1932.318481 410.006927
11 2023.543579 416.620972
12 1820.635254 444.114410
13 1912.176392 451.536926
14 2005.607056 458.563782
15 1797.432861 487.014038
16 1891.056519 494.800568
17 1986.562500 502.761292
9 -6.000000 0.000000 6.000000 0.000000 0.000000
0 1764.811768 635.820129
1 1762.784790 545.574036
2 1761.086182 449.893219
3 1858.120361 645.836304
4 1858.923462 555.032898
5 1859.892456 459.037079
6 1953.563354 655.856384
7 1956.941040 564.569763
8 1960.601318 467.857666
17 -6.000000 2.000000 -6.000000 0.000000 0.000000
1 1940.487061 1484.723633
2 1942.321411 1432.834351
3 2011.240723 1548.716187
4 2014.345703 1498.597412
5 2017.528564 1446.657593
6 2085.092285 1563.168091
7 2089.367188 1512.992432
8 2094.074707 1460.637329
